rank	id	list_price	wish_lists_count	price_text	shop	name
1	7131644	3000	22894	¥ 3,000	スズ製作所	【アバター衣装変換ツール】Alterith
2	7182575	200	16356	¥ 200~	ばんびのちょうじょう	色合わせお助けツール！”TexColorAd...
3	3432497	2000	8561	¥ 2,000	はんそで工房	バ美声製品版ver1.062 #バ美声製品版 
4	4427155	300	10912	¥ 300~	さたにあしょっぴんぐ	【日本語+한국어+English】キメラメー...
5	2657402	100	9087	¥ 100	生チョコ教団	ヨドコロちゃんのポテトチップス
6	2332420	99999	17570	¥ 99,999	とも屋	【無料】VRC/3Dアバター向け簡単着せ替え...
7	4768863	1000	14938	¥ 1,000	yamadev	【VRChat】YamaPlayer - V...
8	5155325	300	14227	¥ 300~	m's software	【無料】VRCT（翻訳+音声認識チャットツール）
9	1272298	100	11297	¥ 100	夢日記屋さん	VMagicMirror
10	1564788	500	13552	¥ 500	黒鳥ケモノ工房	AvatarTools
11	7993523	1700	11810	¥ 1,700~	Rob's Shop	VRCアバタービューアー / VRC Ava...
12	2604269	1500	2304	¥ 1,500~	くに屋	[HANA_Tool_v4] control...
13	2666275	1000	13017	¥ 1,000	Hoshino Labs.	【VRC向け】iwaSync3 メディアプレイヤー
14	940071	1000	4996	¥ 1,000	OguLabo Shop	VDRAW　有料版(Paid Version)
15	5098669	800	8381	¥ 800	たぴおかシステムズ	『誰だっけ？』問題を解決するシステム  - ...
16	2917742	2000	2530	¥ 2,000~	くに屋	【HANA_APP】VRMのクリップを編集す...
17	6519471	0	10191	¥ 0	ぷこるふの倉庫	【無料】テクスチャ改変用の色変更ツール / ...
18	8025925	2000	6964	¥ 2,000~	紫陽花広場Works	【Blender不要】簡単に太ももやお尻をぷ...
19	4649509	1980	3254	¥ 1,980	 なるるるるな / NALULUNA	VRMSpringBoneTool & VR...
20	4589684	500	4080	¥ 500~	さたにあしょっぴんぐ	【VRC、ワールド向け】入退室 通知システム
21	7951475	300	6677	¥ 300~	ばんびのちょうじょう	塗って！選んで！マスク作れるやつ v1.2.2
22	4833984	0	8953	¥ 0	ReinaS'Shop	TexTransTool【UnityEdit...
23	8653640	1600	5498	¥ 1,600~	RIOKUN	[SteamVR]ドリフト補正ツール、Dri...
24	7869397	500	6859	¥ 500~	ぜるらぼ (zelLab)	ぜるかなボード -VRで使える日本語キーボード-
25	2458051	0	8260	¥ 0	生チョコ教団	【無料】ヨドコロちゃんハプティックコントロー...
26	5056077	100	8056	¥ 100	Explosive Theorem Lab.	[SDK3] [無料 / FREE] Viz...
27	6109755	1200	5107	¥ 1,200	yamadev	【VRChat】UdonBed - Udon...
28	7393100	800	4918	¥ 800	すぺいす	Unity上で簡単メッシュ変形！【Uni-L...
29	3109716	800	3686	¥ 800	生チョコ教団	ヨドコロちゃんのタグマーカー
30	3949561	2000	6460	¥ 2,000	お嬢様屋	【VRoom】VTuber向け「おうち3D」...
31	1669411	130	205	¥ 130~	ヒルボカリ	EasyWine（商品説明欄を必ずお読みくだ...
32	7047187	1000	4500	¥ 1,000	CitrineLab	Tapi - VRChat向け多言語キーボード
33	2495966	300	2213	¥ 300	ファル红・茶/Falhong-cha	だれでもVtuber Ver2【64bit】
34	5874705	700	1979	¥ 700~	Kittenji	VRCEmoteManager
35	2911183	1275	3449	¥ 1,275	VRLabs	VRLabs Ragdoll System ...
36	3884551	0	6807	¥ 0	Eureka Works	VRHandsFrame 旧バージョン【新バ...
37	3304031	500	6598	¥ 500	遊び屋Books	【無料！】最新のインポートアイテムに色を付けるやつ
38	2482297	99999	6533	¥ 99,999	とも屋	【無料】VRC/3Dアバター向け簡単小物装着...
39	7167095	500	6597	¥ 500	hakkin	【無料】【改】VRChat 動画プレイヤーエ...
40	3932984	3500	4402	¥ 3,500~	みきねるすとあ	VRChat - Mikinel Cigar...
41	7053472	100	2377	¥ 100	弐百番商店	Youtube IPv6 Block for...
42	6562896	100	6133	¥ 100	ににさん	【Kipcha】写真転送用ソフト
43	7184358	1000	3939	¥ 1,000~	dennokoworks	Matcap Maker【Matcap作成ソ...
44	2764661	500	3502	¥ 500	HHEAVENs	VectorFlow Shader
45	4854979	500	3279	¥ 500	ショップ・ピエロトピカ	Kiseru / Cloth Toolbox
46	3279961	1000	1969	¥ 1,000	Tawami tools	文字を分解するIllustratorスクリプ...
47	999760	500	4712	¥ 500	あきらのおみせ	バーチャルモーションキャプチャー
48	3924629	500	1678	¥ 500	Nisaiのスクリプト置き場	【After Effects スクリプト】M...
49	1783082	0	5486	¥ 0	Fantom工房	VRM Live Viewer v3.14.1
50	3726816	200	5426	¥ 200	dimebag29	【無料】VRChatアカウント別起動ショートカット
51	7150125	500	3104	¥ 500~	Nand-Tech	TexSticker【多機能テクスチャ貼付ツール】
52	1752066	0	5383	¥ 0	よしたかのBOOTH	TopazChat Player 3.0
53	8617534	3000	3312	¥ 3,000	紫陽花広場Works	【VRChatアバターギミック】超分身ギミッ...
54	7367753	0	5189	¥ 0	ばんびのちょうじょう	【無料】マテリアルの設定あわせるやつ！”Ma...
55	4382292	0	5184	¥ 0	ひゅーらー	BodyMorphTool
56	3064040	3000	3098	¥ 3,000	夢日記屋さん	VMagicMirror Full Edition
57	3061124	100	2485	¥ 100	生チョコ教団	ヨドコロちゃんのスタッフマーカー
58	8596485	500	4378	¥ 500	なんか作ろうよ	「TXTRCast」リアルタイムテクスチャ同...
59	7931305	340	2233	¥ 340~	正常ラヂヲ	TRPG用シナリオエディタ『Loredit』
60	2115825	99999	4580	¥ 99,999	とも屋	羅生門ツール（VRoidから髪や服を取り出す...
61	7448550	3000				【アバター想定ベイクツール】Aorith
62	3006558	990				Lovely Composer (ラブリーコ...
63	6867332	5000				Premiere Pro用 テロップ位置合わ...
64	6372968	0				【無料】多機能アセット管理ツール / VRC...
65	1236505	100				Gachikoe! Core (ガチコエ! ...
66	3036337	2500				【After Effects スクリプト】R...
67	8390839	500				【PC軽量化】VRC Project Com...
68	3851586	500				PhysBoneIKGrab Tool
69	8173200	700				ブントラッカー (BoongTracker)...
70	5354054	200				【Unity】ポーズ変換ツール【Humanoid】
71	8154148	3500				ASMR えんじん/ASMR Enjine
72	4434403	500				【ココフォリア】Easy Cutin~APN...
73	6643735	500				ぷにぷにあばたー自動作成ツール【ペラペラアバター】
74	3436565	100				無料トークソフトCOEIROINK-CPU（...
75	2746087	800				【VRC向け】SmartCostume (ア...
76	8109058	300				【無料】liltoon Material E...
77	3210176	3000				VRChatのためのDextroのクローンシ...
78	4201369	1000				【VRChat】VRC Hand Menu ...
79	6415881	13200				VoiSona 雨衣（うい）【通常版】
