# query=ウェイト total=8,573 sort=wish_list
rank	id	list_price	wish_lists_count	category	name
1	7131644	3000	22896	ソフトウェア	【アバター衣装変換ツール】Alterith
2	1551357	2800	1525	ソフトウェア	【ウェイト数値設定ツール】Lazy Weig...
3	6613847	1300	4355	3D衣装	【18アバター対応】しごでき！ウェイトレス（...
4	6785463	7700	4923	3Dキャラクター	👿🍔デビルウエイトレス ベルセリナ 複数アバ...
5	8146661	2500	578	ソフトウェア	表と数値で効率的に一括ウェイト管理！【yuz...
6	7558678	5000	4184	3Dキャラクター	オリジナル3Dモデル「プレッツェル」#Pr_3D
7	8359347	2000	2655	3D衣装	【衣装 / 靴】NEON LUNCH★Din...
8	4972960	1500	1935	3D衣装	【複数アバターセミ対応】ウェイトレス
9	6762014	1000	3137	3Dツール・システム	自動でボーンとウェイトを分割するアドオン（B...
10	7721082	2500	17579	3Dツール・システム	【アバター衣装変換ツール】きせった (Kis...
11	8382092	500	1678	3Dツール・システム	EasyAvatarOptimizer | ...
12	7691178	2000	315	漫画・マンガ	藤丸立香が諸葛孔明と第四次聖杯戦争に乱入する話
13	7000219	1500			【複数アバター対応】バニーウェイトレス-BU...
14	1784758	500			Unity_BoneWeightTransf...
15	3456704	3500			バーゲストおっぱいマウスパッド
16	8028020	1200			Unity上で簡易ウェイトペイント/確認/調...
17	7826759	800			落ちこぼれたちの聖杯戦記
18	8890992	1600			Sale! 🍔CANDY POP DINER...
19	8133913	1000			TextureColorKit｜色変更・AO...
20	3410304	500			ウェイトレスさんシールA5
21	4575151	500			桔梗ちゃん向け MoeNameholder ...
22	8131221	800			Tops & Harness （ウェイトアッ...
23	8104845	800			ヘビーウェイトパーカーセット【33アバター対応】
24	8580866	1200			男性アバター向け衣装『Counter Wor...
25	8287108	1200			【MA設定済み】はりきりダイナー【まめふれん...
26	7625929	1700			【複数アバター対応】💀Nior Waitre...
27	4609861	300			【ルナト・ネージュv2専用】ショートウェイト...
28	6538026	6000			オリジナル3Dモデル『ミルティナ』
29	6172400	500			大きい赤ちゃん45cm
30	4480087	300			立ち絵素材_87（ゆるふわエプロン店員全身、...
31	4395833	660			【FGO】アクスタキー RQ01-【ドット鯖】
32	4817139	8000			【SBOシリーズ】Sion(シオン) Ver...
33	3397693	1200			spooky restaurant | 6i...
34	4089487	700			このメンツで東京特異点に召喚されました。
35	1987659	900			【Leeme＆Reeva用】3Dモデル X2...
36	8026354	9999999			【新登場】EDEN Mesh Studio ...
37	5400066	480			【透過素材50点】洋食（png）
38	2186872	800			痒い所にウェイトが届く『Nearest Bo...
39	8191061	1200			【VRC】バーテンダー酒匠 / Barten...
40	8821921	2000			【VRM改変ツール】VRMBoneEdito...
41	6521153	300			【Vroid】繚乱籠鳥【チャイナドレス】
42	4498850	2000			【3アバター対応】バレンタインドレス【衣装】
43	4500350	1500			もこもふ!!セーラーウェイトレスさん【複数ア...
44	6192557	1000			killer whale diner uni...
45	5404079	900			レイヤードエプロン
46	8573282	500			シーン上でメッシュを選んで紐づいてるボーンを...
47	1198516	2000			[VRChat向け3Dモデル] うさみみウェ...
48	7392096	5500			描き下ろし新作タペストリーＮ０２（金蓮ウェイ...
49	4275687	500			レトロキュートなフォント「りんごひめ」2ウェ...
50	6808153	500			【キプフェル対応】まめダイナー【まめふれんず】
51	2869550	1300			[5モデル対応]衣装モデル『クラシックスカー...
52	7657840	2500			もちふぃった～
53	3275040	500			立ち絵素材　全身立ち絵セット5(個別販売有・...
54	8215421	700			🌸Crimson Rumor🌸【髪型付き衣装...
55	5677015	600			"DmSkinningSupport" fo...
56	3535662	6000			バゲ子＆黒犬スウェット
57	6633647	1800			🐰2025年第1弾『断罪バニー - Danz...
58	8115800	500			【VRC想定】スクワットカウンター / Sq...
59	4904935	500			【20アバター対応】Assault Hand...
60	8287686	600			ウエイト調整アドオン「Nyanneco Mi...
