# query=ポリゴン削減 total=1,575 sort=wish_list
rank	id	list_price	wish_lists_count	category	name
1	8112277	1200	320	3Dツール・システム	【Unityポリゴン削減ツール】ぽりぽち！
2	5409262	500	3271	ソフトウェア	【無料】【非破壊でポリゴン削減】Mantis...
3	6442345	500	42	3Dモデル（その他）	【ポリゴン削減】デマイン（2000年代前半の...
4	8426129	0	50	ソフトウェア	【無料】VRAM・ポリゴン数バッジツール A...
5	6767691	750	38	3Dモデル（その他）	【ポリゴン削減3Dモデル】ピューレ（1990...
6	8426340	6000	20989	3Dキャラクター	SiuSiu / オリジナル3Dモデル
7	2871740	0	291	3Dモデル（その他）	スピードグラフィックカメラ(ポリゴン削減版)
8	8486655	0	209	3Dツール・システム	テクスチャが歪まない！高精度ポリゴン削減ツール
9	5957830	6000	42550	3Dキャラクター	サメっ子オリジナル3Dモデル「rurune」...
10	8893323	1000	4	3Dツール・システム	KaruMesh｜SketchUp メッシュ...
11	8779712	1000	6100	3D装飾品	うねうねうごく！むっちり触手
12	7190059	750	26	3Dモデル（その他）	【ポリゴン削減3Dモデル】ピューレ キャンバ...
13	5132797	6000			オリジナル3Dモデル「瑞希」メニューギミック搭載
14	6504842	300			【MA設定済】QuantumEdge
15	8729355	500			【VRChat】そこ、揺らすと出てきます。服...
16	7727374	680			♡update♡【12アバター対応】切りっぱ...
17	8282137	1500			𝐇𝐨𝐰𝐥𝐢𝐧𝐠【16アバター対応･けもみみ・...
18	8162965	5000			『フォレ・ノワールの少女 カザリス』【オリジ...
19	8419126	1600			𝐋𝐮𝐜𝐞𝐧𝐭【18アバター対応･VRChat...
20	4413848	5000			【オリジナル3Dモデル】Moko
21	5509228	1000			【VRChatアバターギミック】BindSy...
22	6836210	3500			Toah -トア-【オリジナル3Dモデル】
23	2895160	4000			【オリジナル３Ｄモデル】メグミリア・ランソー...
24	3003506	700			【UnityEditor拡張】にゃんにゃんメ...
25	8514663	400			今、何本目？ -飲酒用ホログラムヘイロー-
26	4150536	7000			【オリジナル３Ｄモデル】アイリベルダ・ベルフ...
27	5139820	1000			【3Dモデル】GothiCrown【VRCh...
28	8591672	2700			「fold」３D衣装モデル（lapwing、...
29	5608661	1900			【7アバター対応】きゅんきゅん♡もえめいど
30	3966728	0			おさむ缶バッチ (3D model)
31	4190590	200			Heart Jewel Accessory
32	7534638	2000			オリジナル3Dモデル　「翠羽 -Suiha-」
33	3417818	500			3DCG【prison_set】刑務所　牢屋セット
34	7043017	3000			【オリジナル3Dモデル】Noachis-1
35	8545785	4500			セレナ -Selena-【オリジナル3Dモデ...
36	8264237	1600			▸ BE NATURAL ◂【9Avatars】
37	4923049	400			【3Dモデル】ベールマント【ver2.1更新...
38	1472541	300			ゴシッククロスチェーンハットv3（差分テクス...
39	7052580	800			髪の花ごよみ【3Dアクセサリー】
40	6944218	500			【無料】Meshia Mesh Simpli...
41	5665054	800			【VRChat想定】あしめはーふあっぷへあ/...
42	7444850	1200			【８アバター対応】Blanche⚜️ブランシ...
43	8617833	1600			◈CASSIS◈【10Avatars】
44	5168877	500			【MA設定済】【2color】Icing s...
45	3647688	4000			 もにもに・コニカ [オリジナル3Dモデル]...
46	3123433	3300			「ティコ（Tycho）」オリジナル3Dモデル
47	2381911	3300			「猫山苗（Nekoyama Nae）」オリジ...
48	6684658	300			【ルルネ用】⛓ChainTail⛓【VRChat】
49	5666592	300			Udon Clock LCD
50	5248746	7000			【オリジナル３Ｄモデル】蜜紬希【個人商用ライ...
51	6742344	600			🦈Rurune Sakura Tail🌸6×...
52	3224415	7000			【オリジナル3Dモデル】　ドラゴニュート・シアノス
53	8878395	150			GhostFlow | アバター残像ギミック...
54	7441471	780			17アバター対応 # Sheer Edge ⊿
55	6941751	1300			珍飯亭共通素体・深澄対応『腰巻きツナギ』
56	4849237	350			[Blender][Unity] ネオンサイ...
57	1462281	300			王冠v2（テクスチャ6種入り）
58	5966913	1600			Wormiesock VRChat Avatar
59	7750877	1400			Starry Alice【総対応アバター30+】
60	6480202	200			【MA設定済】【みみのこ対応】揺れる!! み...
