# query=体型 total=6,045 sort=wish_list
rank	id	list_price	wish_lists_count	category	name
1	8019630	500	9100	3Dツール・システム	♡服ピタ機能(β版)追加アプデ♡【アバター体...
2	8281904	500	7561	3Dツール・システム	簡単に体型・衣装のスケール変更「スケールエデ...
3	8079812	500	4457	3Dツール・システム	【VRChatアバター体型コピー＆調整ツール...
4	8744076	1000	1870	3Dツール・システム	MoRPHIA - 体型編集ツール
5	3208891	200	765	VRoid	VRoid Hair presets Hai...
6	7923976	600	1181	3Dモデル（その他）	【両変換対応】真央（男性体型対応）&りりか用...
7	3567336	1210	732	ソフトウェア	[VRoid] Yashiori - VRo...
8	4642732	1000	2094	VRoid	【#VRoid 男女両対応】セルルック風味の...
9	5472894	500	743	ぬいぐるみ	ちび福瑞体型紙(作り方説明書付き)
10	3315960	500	274	3Dモデル（その他）	3Dベース素体（スレンダータイプ）
11	4891162	600	2249	3D装飾品	CyberTechGear_Type01（ヘ...
12	6744372	300	367	イラスト素材	【イラスト素材】全身ポーズ素体　貧乳体型【20種】
13	7357962	300			【イラスト素材】全身ポーズ素体　巨乳体型【20種】
14	8378040	500			♡ポン置きでか♡ミルティナblendshap...
15	2196239	400			VRoid Hair presets ぱっつんボブ
16	7593948	300			【イラスト素材】全身ポーズ素体　貧乳体型②【...
17	6698176	500			ドール体型なぬいぐるみ(女の子ボディ)の型紙...
18	4026661	500			3Dベース素体（グラマータイプ）
19	3301755	400			VRoid Hair presets 外はね...
20	7070030	300			【型紙】20cmぬい素体
21	7079035	300			【型紙】15cmちび頭身ぬい素体型紙
22	8282330	100			【ミルティナ / Milltina】Lady...
23	7336770	150			【Hanka専用】体型変更シェイプキー
24	6749418	500			ドール体型なぬいぐるみ(男の子ボディ)の型紙...
25	7169147	1300			40cm獣体｜Furryぬいぐるみ素体型紙
26	4877049	1980			オリジナル３Dアバター衣装モデル「メイド服」...
27	7699667	6000			オリジナル3Dモデル『ラムネ』 - Ramune
28	4832892	200			饅頭風ぬい素体型紙
29	7156696	400			【型紙】高約18cm座り姿勢用ぬい素体
30	3599535	4000			【VRoid / VRM model】Sno...
31	2181568	1500			「シロモジ&クロモジ」キャラクター素体 v1...
32	3752537	100			【サムネイル用】雀魂に寄せた参加型ロゴ（金文字）
33	5299314	3400			Wild Suit / OGRE
34	8766325	300			✦ MILLTINA Face Animat...
35	8089553	2200			After School Uniform! ...
36	3635745	2000			【3D】アタリ用/体/軽量版
37	3503613	300			Eastern スタンド一体型アーケードステ...
38	7340471	400			【型紙】20cmぬい素体
39	7135689	300			胸の大きなママ（素体D子）
40	4475757	800			【VRoidファイル】ぷにっとSD体型【正式版】
41	2451572	100			【apng】ｺｺﾌｫﾘｱ用素材│魔法陣【無料】
42	5776529	2000			3Dベース素体HG版ver.2(スレンダー型)
43	5053964	400			【VRoid】【正式版】ヘアプリセット/ダン...
44	6535704	2000			ShadowLily【17アバター対応】
45	1642614	600			【正式版対応済】【VROID用】白衣+Yシャ...
46	8048283	1000			へきまし＋(まし)【体型を子供にしたりお姉ぇ...
47	3295657	500			3Dベース素体(ぽっちゃりタイプ)
48	8080519	300			ミルティナ イケ女化 blendshape
49	2805882	300			VRoid model：「ルカ -Luca-...
50	1434325	1500			【素体単品】ローポリ素体(レイワラビットベース)
51	7112621	700			もっと大きいドール体型なぬいぐるみ(男性ボデ...
52	5074186	300			ぬいの髪立体型紙　後ろツンツン髪【19cm韓...
53	8506445	1400			【VRM】V-Shape Studio - ...
54	3830268	200			無料【VRoid】SkinnyDenim 5...
55	4751858	400			VRoid Hair presets ふんわ...
56	2910173	560			一体型パーツ付属品の単体販売
57	2406438	500			【VROID用】ロング白衣+Yシャツ+ネクタ...
58	1704754	200			【For VRoid1.0】Saku*sak...
59	8346109	900			オリジナル3Dアバター「にゃにゃまる」
60	4912814	400			【VRoid】【正式版】ヘアプリセット/ブル...
