# query=素体 削除 total=2,727 sort=wish_list
rank	id	list_price	wish_lists_count	category	name
1	5813187	5500	52192	3Dキャラクター	キプフェル Kipfel / オリジナル3Dモデル
2	6106863	6000	51491	3Dキャラクター	オリジナル3Dモデル「しなの」
3	4993931	6000	22118	3Dキャラクター	Lapwing
4	8426340	6000	20989	3Dキャラクター	SiuSiu / オリジナル3Dモデル
5	6538026	6000	43811	3Dキャラクター	オリジナル3Dモデル『ミルティナ』
6	6405390	5000	30300	3Dキャラクター	【9/21-28✦1000円OFF】ショコラ...
7	5594480	1500	12311	3D衣装	【101アバター対応】シュガーワンピ【SALE】
8	5562714	1600	12241	3D衣装	【282アバター対応】Classical Maid
9	3190100	5500	11479	3Dキャラクター	Grus
10	7951821	1400	11428	3D衣装	【衣装】Klorfi【16アバター対応】
11	7770415	6000	16273	3Dキャラクター	プラム -Plum- / オリジナル3Dモデル
12	5776079	5000	8668	3Dキャラクター	オリジナル3Dモデル『コロネ』
13	5255692	5000			オリジナル3Dモデル「ラズリ -Lazuli-」
14	2559783	5000			ラスク -Rusk- / オリジナル3Dモデル
15	5479202	800			可愛いポーズツール　～３点でもVRChatで...
16	3564947	5000			オリジナル3Dモデル『あのん』
17	6535704	2000			ShadowLily【17アバター対応】
18	5879794	1500			【20アバター対応】𝙈𝙤𝙧𝙗𝙞𝙙𝘼𝙣𝙜𝙚𝙡
19	6813995	500			【オリジナル3Dモデル】彼方-Kanata-...
20	7035100	500			【57Avatar対応】ルミナスブライド
21	7374627	5000			【LilLeo-リルレオ-】オリジナル3Dモデル
22	4854979	500			Kiseru / Cloth Toolbox
23	3550881	5000			うささき Usasaki / オリジナル3Dモデル
24	7475899	3000			『リナシータ』オリジナル3Dモデル -Rin...
25	6571299	2000			ミルフィ Milfy / オリジナル3Dモデル
26	2709610	5500			【オリジナル3Dモデル】ウルフェリア
27	8127596	1600			𝐶𝑜𝑠𝑒𝑡𝑡𝑒【16アバター対応･VRCha...
28	8727844	100			オリジナル3Dアバター『邪竜メルヴィ』 #メ...
29	3659436	5500			【オリジナル3Dモデル】リーファ
30	7534638	2000			オリジナル3Dモデル　「翠羽 -Suiha-」
31	7900099	890			【19アバター対応】Zanko🐈︎
32	1826902	5500			【オリジナル3Dモデル】京狐
33	4063740	5500			【オリジナル3Dモデル】ルーナリット
34	4709323	300			もう何も考えなくていい服『着るEXTENSI...
35	5484178	5000			オリジナル3Dモデル『クララ』
36	2322146	5000			【オリジナル3Dモデル】沙猫-さねこ-
37	8434318	2000			-NOXELLE-ノクセル【27アバター対応】
38	8562330	6000			九尾オリジナル3Dモデル「輝夜」-kaguya-
39	2693309	5000			みなほし Minahoshi  / オリジナ...
40	4469885	2000			【15アバター対応】OATH JACKETコ...
41	7841267	2500			【🐇13アバター対応🌙】『-Lapinast...
42	4358123	6000			オリジナル3Dモデル 「ルキフェル -Luc...
43	6721544	2000			🩷『Lop Ear Mine』ロップイヤーマ...
44	6551022	850			【Blenderアドオン】衣装と素体を簡単マ...
45	6199796	5500			👂みみのこ -V2.0【VRC向け3Dモデル】 
46	6663666	3500			オリジナル3Dモデル「エルシオン」-ELus...
47	2146588	5500			リア-アリス(RearAlice)【オリジナ...
48	5902178	1300			セーラー服&カーディガン✦10キャラ対応✦
49	6424330	1500			ぴゅあばにー  -PureBuny- ✦31...
50	4768506	100			オリジナル3Dモデル「フレア -Flare-」
51	6951878	1000			オリジナル3Dモデル「MUMUS」   
52	6842740	1800			【🍸少年衣装🌙】『-Slistiria-』 ...
53	2258111	4000			ミント -Mint- / オリジナル3Dモデル
54	4910503	100			オリジナル3Dモデル「ましゅめろ」
55	4256853	5000			クロンカ/clonka【オリジナル3Dモデル...
56	7827639	4500			オリジナル 3Dモデル『ひかるん - Hik...
57	8680696	1600			𝐌𝐞𝐦𝐞𝐧𝐭𝐨【19アバター対応･VRCha...
58	7248387	1800			男性アバター向け衣装『Unwind』 - B...
59	5322434	2000			[12アバター対応]Corset Cream...
60	6866752	1500			【67Avatar対応】Frillcat
