# query=貫通 total=11,967 sort=wish_list
rank	id	list_price	wish_lists_count	category	name
1	8715135	1000	4434	3Dツール・システム	のーかんっ！～揺れもの貫通ガード～
2	8693979	1000	1987	3Dツール・システム	『MeshEraser』なぞって消えるメッシ...
3	7790704	850	970	3D衣装	3Dモデル / Dinosaur Cooki...
4	4649509	1980	3255	ソフトウェア	VRMSpringBoneTool & VR...
5	6191249	300	932	3Dテクスチャ	絶対貫通しないハイレグ！
6	2087178	1200	1776	ソフトウェア	【旧作】VRMのスカート貫通防止を自動設定『...
7	4511536	200	37551	3Dツール・システム	つぶせる！押せる！ましゅまろPB(Marsh...
8	7363773	500	2483	3D衣装	《ぬい . Zip》- 開けられる！画像を差...
9	5260363	6000	26379	3Dキャラクター	【オリジナル3Dモデル】狛乃-Komano-
10	5957830	6000	42550	3Dキャラクター	サメっ子オリジナル3Dモデル「rurune」...
11	8570200	300	810	3Dモーション・アニメーション	【SIUSIU専用】ネイルが肌に貫通しない！...
12	6960517	500	607	3Dツール・システム	【VRChat想定】御子神式貫通対策シェーダー　
13	4649508	1500			VRMSkirtTool - スカート貫通し...
14	6633647	1800			🐰2025年第1弾『断罪バニー - Danz...
15	6521723	1700			 【 𝙁𝙪𝙣𝙠𝙮 𝙎𝙩𝙧𝙚𝙚𝙩 𝙑𝙞𝙫𝙚 】
16	7490147	800			MarutiHat [Marutica]
17	8870899	500			【発売開始セール】なでふれ！-NadeFur...
18	2325712	3000			腹を貫通する猫Tシャツ
19	7328789	5500			オリジナル3Dモデル「イチゴ」
20	6866946	1600			【16アバター対応】Prologue【VRC...
21	2326782	3000			胸を貫通する猫［修正版］
22	7065708	1700			Hoodie set(23アバター対応)
23	5116217	800			【VRChat】くまさん貫通セーター
24	7900000	1600			𝙎𝙮𝙯𝙮𝙜𝙮【22アバター対応･VRChat...
25	7469604	1600			【13アバター対応】Lunette-ルネット-
26	7472126	2000			【 Double Jacket Outfit】
27	8466447	300			【女アバター用】ネイルが肌を貫通しない!!ギ...
28	5298514	2200			【Deorart モデル No.1リメイク】...
29	8127596	1600			𝐶𝑜𝑠𝑒𝑡𝑡𝑒【16アバター対応･VRCha...
30	8013601	990			【12 avatars】【VRC Hair】...
31	7518517	500			だぼシャツ【10アバター対応】
32	4993931	6000			Lapwing
33	5089792	2000			【12アバター対応】スクールエレガン　/　S...
34	7951821	1400			【衣装】Klorfi【16アバター対応】
35	7224603	1050			✨セール中✨Chain Kiss : Den...
36	5646504	1800			巫桜(28アバター対応)
37	7650503	500			中身貫通シェーダー(Material)　- ...
38	7285626	1500			【8アバター対応】四季結-Shikiyui-...
39	8725457	100			オリジナル3Dモデル「ねる-Neru-」
40	6177489	500			hunwariLongStraight
41	3681787	5500			オリジナル3Dモデル「桔梗」
42	5879794	1500			【20アバター対応】𝙈𝙤𝙧𝙗𝙞𝙙𝘼𝙣𝙜𝙚𝙡
43	6721544	2000			🩷『Lop Ear Mine』ロップイヤーマ...
44	6690701	500			Lynn Hair <41アバター対応>
45	6467347	1200			07/31Update!【23アバター対応】...
46	8637516	1150			✨セール中✨The Mafia Widow【...
47	5106419	1900			ギミック付きルームウェア #RelaxRoo...
48	7552621	3000			【Unityメッシュ編集ツール】EreMorph
49	5441665	800			【VRChat】あにまる貫通セーター
50	6888657	1000			【VRC想定】LongWolfHair【10...
51	6593719	1800			【13アバター対応】Mellow Mello...
52	6348190	500			bosabosa bob
53	5154768	800			【VRChat】くまさん貫通セーター Men...
54	7286325	1200			GrayWhim【VRChat向け衣装】
55	5402122	500			【54アバター対応】ストレイキングキャット ...
56	8426340	6000			SiuSiu / オリジナル3Dモデル
57	8853669	1180			✦ セール中 ✦ 22アバター対応 🐉煌めき🏮
58	4172464	1200			1/80 オハ35・オハフ33向け貫通扉閉塞...
59	4469885	2000			【15アバター対応】OATH JACKETコ...
60	7065385	1000			食い込みシェイプメーカー Kuikomi S...
