rank	path	liked_count	price	published_at	body_updated_at
1	tmasuyama1114/claude_code_basic	1375	0	2025-10-07T00:41:50.462+09:00	2026-08-21T22:36:54.533+09:00
2	hampen2929/ai-agent-evaluation-guide	109	0	2026-09-09T18:09:18.517+09:00	2026-09-14T12:15:24.331+09:00
3	hampen2929/claude-code-production-guide	81	0	2026-08-24T17:48:57.300+09:00	2026-09-14T12:14:52.480+09:00
4	shio_shoppaize/ai-mentoring-thinking	123	500	2026-02-21T18:15:29.235+09:00	2026-08-15T00:31:04.283+09:00
5	ohbashunsuke/unity-ai-starter-kit	67	1500	2026-05-14T21:00:20.159+09:00	2026-05-21T16:51:26.743+09:00
6	hisaju01/meteorfall-development	37	0	2026-07-31T15:16:08.540+09:00	2026-07-31T15:11:15.981+09:00
7	skmkzyk/github-copilot-app-guide	5	0	2026-09-15T23:16:56.553+09:00	2026-09-16T00:08:56.202+09:00
8	hako_hako/nexus-product-new-development	10	0	2026-08-13T17:10:07.112+09:00	2026-08-13T16:59:50.837+09:00
9	soeno9/claude-code-jutaku-ops	1	1500	2026-09-04T17:40:10.933+09:00	2026-09-04T17:48:55.742+09:00
10	mono_tec/mono-tec-tech-index	0	0	2026-08-26T22:33:40.476+09:00	2026-08-26T22:33:44.272+09:00
11	nekoruri/agent-serverless	1	1500	2026-08-20T00:17:40.424+09:00	2026-08-19T20:14:49.174+09:00
12	hampen2929/ai-dev-team-guide	10	0	2026-09-16T18:54:07.798+09:00	2026-09-17T11:23:29.967+09:00
13	zumiyan/533182dfa21977	0	0	2026-08-29T13:53:37.040+09:00	2026-09-13T14:54:52.897+09:00
14	codecraft/tenbagger-screening	0	1000	2026-08-27T13:25:13.261+09:00	2026-09-01T11:03:21.868+09:00
15	rapls/890bb51db3b85f	0	0	2026-08-21T13:20:16.757+09:00	2026-08-21T13:13:27.691+09:00
16	akuroiwa/dev-note-mcts-gen	0	0	2026-08-17T20:46:05.426+09:00	2026-08-17T20:46:09.068+09:00
17	mabui/geo-llmo-for-engineers	0	500	2026-08-16T11:35:34.910+09:00	2026-08-16T11:35:39.176+09:00
18	codecraft/kensa-shuu-vol1	1	1000	2026-08-02T18:08:14.116+09:00	2026-08-19T11:57:05.851+09:00
19	joinclass/ai-dlc-textbook	1	2000	2026-08-02T08:00:10.219+09:00	2026-08-02T00:05:43.154+09:00
20	novexar/claude-code-team-standards	0	0	2026-08-14T14:55:38.008+09:00	2026-08-14T14:55:40.940+09:00
21	toyo_lab/ai-agent-failures	0	1200	2026-08-10T23:41:49.271+09:00	2026-08-10T23:38:35.513+09:00
22	auto_quont/ai-autonomous-system	0	0	2026-08-06T14:23:04.549+09:00	2026-08-06T16:00:57.829+09:00
23	masayan1126/orchestrator-architecture	1	300	2026-07-31T08:38:40.023+09:00	2026-07-31T08:38:48.912+09:00
24	aidecodelabjp/ai-automation-jitsuroku	0	500	2026-07-30T21:38:12.662+09:00	2026-07-30T21:38:15.820+09:00
25	nasubikun/understanding-ai-agents	2	0	2026-07-27T22:55:38.760+09:00	2026-07-27T22:55:44.661+09:00
26	shoebill_dev27/ai-app-safety	0	1000	2026-07-26T10:03:41.122+09:00	2026-07-26T10:03:47.980+09:00
27	ray_keymaso/passcraft-ccaf-practice	1	300	2026-07-26T01:40:21.546+09:00	2026-07-26T01:40:25.009+09:00
28	masayan1126/ai-tos-account-ban	0	300	2026-09-13T21:58:06.185+09:00	2026-09-13T21:58:12.359+09:00
29	hideki_tamae/ai-agent-implementation-guide	0	2500	2026-09-13T21:19:39.849+09:00	2026-09-13T21:19:46.988+09:00
30	omnikros/nobody-came-six-sites	0	1000	2026-09-12T11:56:00.020+09:00	2026-09-05T01:08:46.762+09:00
31	mika_and_coco/claude-code-from-zero	2	0	2026-09-12T10:21:27.470+09:00	2026-09-12T09:53:52.828+09:00
32	bulltech/run-business-by-smartphone	0	500	2026-09-08T23:51:55.938+09:00	2026-09-08T23:27:12.976+09:00
33	quintetkit/claude-code-parallel-workflow	0	1500	2026-09-05T10:53:42.419+09:00	2026-09-05T10:56:41.789+09:00
34	iwadjp/88ccf04837a778	0	1000	2026-09-03T18:24:04.849+09:00	2026-08-23T19:03:47.717+09:00
35	monoocean/3d7a149c7a864a	0	800	2026-08-25T18:03:36.971+09:00	2026-09-10T11:04:16.843+09:00
36	masayan1126/shorts-orchestration-pipeline	0	300	2026-08-22T21:57:31.058+09:00	2026-08-22T21:57:39.739+09:00
37	tsutomusaito/ai-context-design-guide	0	2000	2026-08-18T13:50:59.556+09:00	2026-08-22T18:59:54.964+09:00
38	fibujrsl/0ffc369d83a8ea	0	0	2026-08-16T18:07:46.772+09:00	2026-08-16T18:55:13.792+09:00
39	yahir/claude-advanced-skill	0	0	2026-08-14T23:46:26.766+09:00	2026-08-14T23:57:14.978+09:00
40	masayan1126/codex-complete-practical-course	0	300	2026-08-14T15:49:44.379+09:00	2026-08-14T15:49:52.434+09:00
41	albatrosdx/ac2e7b4bf1e64f	3	0	2026-08-14T09:50:38.794+09:00	2026-08-14T11:13:56.361+09:00
42	katsutoatsuto/784dbf4eaede4c	0	0	2026-08-09T11:46:30.115+09:00	2026-08-17T17:26:20.848+09:00
43	masayan1126/youtube-ops-pdca-claude-code	1	300	2026-08-07T12:42:00.242+09:00	2026-08-07T12:42:11.927+09:00
44	subagent_lab/claude-code-subagents	0	900	2026-08-04T17:47:38.795+09:00	2026-08-05T12:04:39.826+09:00
45	yun_bow/f0b23ef3093ddf	2	0	2026-08-02T19:09:34.936+09:00	2026-08-02T18:51:02.178+09:00
46	clawtech6477/ai-org-playbook	0	1000	2026-07-22T20:49:13.633+09:00	2026-07-22T19:38:17.359+09:00
47	masayan1126/loop-engineering-guide	0	300	2026-07-22T17:41:58.220+09:00	2026-07-22T17:42:08.129+09:00
48	jidoka_lab/ai-agent-delegation-guide	0	1200	2026-07-21T21:20:29.516+09:00	2026-07-21T21:20:29.977+09:00
49	narita1980/openai-codex-getting-started	1	0	2026-07-21T00:40:37.247+09:00	2026-06-23T10:34:15.287+09:00
50	narita1980/google-antigravity-getting-started	2	0	2026-07-21T00:40:04.603+09:00	2026-06-23T10:21:49.651+09:00
51	mugensai/ai-agents-site-revival	1	1200	2026-07-20T08:23:45.763+09:00	2026-07-20T08:18:16.131+09:00
52	sktt_panda/claude-earnings-analyst	3	1000	2026-07-11T09:04:45.153+09:00	2026-07-09T21:10:42.931+09:00
53	yuya_1205/flutter-tdd-ai-development	7	0	2026-07-06T20:53:33.970+09:00	2026-07-05T14:17:43.662+09:00
54	shuji_bonji/neovim-ide-on-mac	14	0	2026-07-02T14:30:43.165+09:00	2026-07-09T20:06:19.899+09:00
55	akuroiwa/dev-note-chess-ant	0	0	2026-07-26T22:37:43.967+09:00	2026-07-26T22:37:49.094+09:00
56	gingakuwagata/claude-code-best-practices	4	0	2026-07-20T09:07:00.991+09:00	2026-07-25T08:28:49.435+09:00
57	cloto/claude-memory-mcp-server-archive	0	0	2026-07-16T23:53:32.224+09:00	2026-07-16T23:53:38.905+09:00
58	bpf/b3c7f6e8837fe9	0	600	2026-07-15T13:17:06.358+09:00	2026-08-12T14:52:32.683+09:00
59	okogee/claude-code-multi-agent-ops	2	1500	2026-07-15T01:15:16.211+09:00	2026-07-15T01:31:59.501+09:00
60	miharu_tools/solo-dev-three-roles	0	1500	2026-07-13T23:44:56.071+09:00	2026-07-13T23:29:07.576+09:00
61	heki_dm/setup-coding-environment	0	500	2026-07-12T15:30:24.967+09:00	2026-07-12T18:48:30.844+09:00
62	mina3146/359c3fd19ef9e4	0	500	2026-07-11T22:08:34.582+09:00	2026-07-11T20:19:10.315+09:00
63	shoebill_dev27/claude-code-design-patterns	0	1500	2026-07-11T01:24:08.467+09:00	2026-06-22T20:20:16.540+09:00
64	ykishimotoy/de8bc95c9b3d57	6	0	2026-07-04T10:27:20.332+09:00	2026-07-04T10:28:05.983+09:00
65	417/flue-framework-guide	19	0	2026-06-18T18:53:05.702+09:00	2026-08-01T19:36:45.997+09:00
66	masayan1126/claude-code-spec-driven-dev	0	500	2026-09-06T08:08:04.100+09:00	2026-09-06T08:08:12.116+09:00
67	hiroki_dev_hack/d86948b19e9dac	0	300	2026-09-05T22:36:31.409+09:00	2026-09-05T22:33:41.020+09:00
68	koheikameyama/claude-code-work-core	0	1500	2026-08-30T10:04:02.333+09:00	2026-08-30T10:04:10.406+09:00
69	masayan1126/ai-agent-harness-guide	0	300	2026-08-29T22:10:19.578+09:00	2026-08-29T22:10:26.307+09:00
70	yamitake/vibecoding-bible	2	500	2026-08-18T16:37:50.636+09:00	2026-08-18T16:38:01.361+09:00
71	mocha_engineer/ai-ui-review	1	1500	2026-08-12T10:46:04.797+09:00	2026-08-12T10:46:06.368+09:00
72	joinclass/ai-agent-textbook	1	2000	2026-08-10T08:00:13.900+09:00	2026-08-02T13:05:34.968+09:00
