rank	path	bestseller	price	liked_count	published_at	suspending
1	tan_go238/project-management-textbook	False	0	444	2026-09-09T14:24:57.970+09:00	False
2	ojk/intro-to-html-css	False	0	438	2021-01-30T21:41:29.647+09:00	False
3	murasanlab/dcf7ed4826a797	False	1200	46	2026-08-11T21:25:59.214+09:00	False
4	135yshr/go-service-design	False	0	259	2026-07-23T12:08:48.964+09:00	False
5	ymotongpoo/go-ebpf-primer	False	0	67	2026-09-11T11:01:34.309+09:00	False
6	kusuke/cd983c465bc175	False	3000	45	2026-09-06T20:28:36.617+09:00	False
7	ymotongpoo/go-json-v2-history	False	0	132	2026-08-20T10:42:04.936+09:00	False
8	hampen2929/ai-agent-evaluation-guide	False	0	114	2026-09-09T18:09:18.517+09:00	False
9	hampen2929/claude-code-production-guide	False	0	85	2026-08-24T17:48:57.300+09:00	False
10	rchiji/51fbb88213582d	True	1000	37	2023-06-21T23:02:15.839+09:00	False
11	417/tanstack-start-principles	False	0	33	2026-08-19T14:18:13.424+09:00	False
12	tmasuyama1114/claude_code_basic	False	0	1379	2025-10-07T00:41:50.462+09:00	False
13	hidebike712/oauth-attacks-and-bcp	False	0	227	2026-08-17T03:37:30.283+09:00	False
14	ohbashunsuke/unity-ai-starter-kit	True	1500	67	2026-05-14T21:00:20.159+09:00	False
15	saku0512/3735de8d0aa09f	False	0	49	2026-09-05T10:33:15.863+09:00	False
16	kimushun1101/ros2-handson	False	0	47	2026-08-04T10:08:42.815+09:00	False
17	hisaju01/meteorfall-development	False	0	37	2026-07-31T15:16:08.540+09:00	False
18	k_ing/ddd-first-book	False	500	49	2026-06-30T11:34:16.012+09:00	False
19	dannchu/statistical-inference-julia	False	1000	2	2026-09-19T15:00:57.917+09:00	False
20	ojk/intro-to-javascript	False	0	811	2021-01-30T21:41:31.034+09:00	False
21	yun_bow/bbd75c256479b0	False	0	96	2026-06-13T16:14:59.656+09:00	False
22	skmkzyk/github-copilot-app-guide	False	0	5	2026-09-15T23:16:56.553+09:00	False
23	zuk2y/14f9fdfab83238	False	1000	2	2026-08-23T18:37:38.196+09:00	False
24	hako_hako/nexus-product-new-development	False	0	10	2026-08-13T17:10:07.112+09:00	False
25	tbpgr/d7eb07b518e467	False	0	13	2026-08-12T09:23:03.212+09:00	False
26	shio_shoppaize/ai-mentoring-thinking	True	500	123	2026-02-21T18:15:29.235+09:00	False
27	labcode/6c6dc31864ef14	False	2800	21	2026-01-24T19:51:58.534+09:00	False
28	4geru/gas-favorite-map-handson	False	0	7	2026-08-07T21:28:18.548+09:00	False
29	yyamamot/spdk-storage-development	False	0	10	2026-08-02T16:51:20.354+09:00	False
30	ikaro1192/b1e473a060e258	False	0	104	2026-06-07T18:32:50.791+09:00	False
31	yokina_kaoto/01524a163a76e5	False	0	0	2026-09-21T21:03:10.569+09:00	False
32	mahiguch/boatrace-ml-system	False	0	1	2026-09-20T19:25:40.708+09:00	False
33	papaeng/firebase-openai-backend	False	800	0	2026-09-20T09:05:03.101+09:00	False
34	ushibutatory/ushibutatory-gamedev-4	False	0	3	2026-09-16T15:33:46.016+09:00	False
35	sacredabyss/3a0200f25b98c2	False	2500	0	2026-09-14T13:20:33.066+09:00	False
36	yurinchi/01ecd492dc6adf	False	0	2	2026-09-13T13:55:50.588+09:00	False
