rank	path	liked_count	price	published_at	body_updated_at
1	tmasuyama1114/claude_code_basic	1375	0	2025-10-07T00:41:50.462+09:00	2026-08-21T22:36:54.533+09:00
2	hampen2929/ai-agent-evaluation-guide	109	0	2026-09-09T18:09:18.517+09:00	2026-09-14T12:15:24.331+09:00
3	hampen2929/claude-code-production-guide	81	0	2026-08-24T17:48:57.300+09:00	2026-09-14T12:14:52.480+09:00
4	hako_hako/nexus-product-new-development	10	0	2026-08-13T17:10:07.112+09:00	2026-08-13T16:59:50.837+09:00
5	soeno9/claude-code-jutaku-ops	1	1500	2026-09-04T17:40:10.933+09:00	2026-09-04T17:48:55.742+09:00
6	hampen2929/ai-dev-team-guide	10	0	2026-09-16T18:54:07.798+09:00	2026-09-17T11:23:29.967+09:00
7	codecraft/tenbagger-screening	0	1000	2026-08-27T13:25:13.261+09:00	2026-09-01T11:03:21.868+09:00
8	rapls/890bb51db3b85f	0	0	2026-08-21T13:20:16.757+09:00	2026-08-21T13:13:27.691+09:00
9	rigspec/cad-headless-automation	0	2000	2026-08-05T18:24:21.038+09:00	2026-08-05T18:24:26.633+09:00
10	codecraft/kensa-shuu-vol1	1	1000	2026-08-02T18:08:14.116+09:00	2026-08-19T11:57:05.851+09:00
11	joinclass/ai-dlc-textbook	1	2000	2026-08-02T08:00:10.219+09:00	2026-08-02T00:05:43.154+09:00
12	novexar/claude-code-team-standards	0	0	2026-08-14T14:55:38.008+09:00	2026-08-14T14:55:40.940+09:00
13	auto_quont/ai-autonomous-system	0	0	2026-08-06T14:23:04.549+09:00	2026-08-06T16:00:57.829+09:00
14	masayan1126/orchestrator-architecture	1	300	2026-07-31T08:38:40.023+09:00	2026-07-31T08:38:48.912+09:00
15	nasubikun/understanding-ai-agents	2	0	2026-07-27T22:55:38.760+09:00	2026-07-27T22:55:44.661+09:00
16	shoebill_dev27/ai-app-safety	0	1000	2026-07-26T10:03:41.122+09:00	2026-07-26T10:03:47.980+09:00
17	sumin_secretary/5222279a824997	0	0	2026-07-26T02:30:17.572+09:00	2026-07-26T02:24:08.136+09:00
18	hideki_tamae/ai-agent-implementation-guide	0	2500	2026-09-13T21:19:39.849+09:00	2026-09-13T21:19:46.988+09:00
19	omnikros/nobody-came-six-sites	0	1000	2026-09-12T11:56:00.020+09:00	2026-09-05T01:08:46.762+09:00
20	mika_and_coco/claude-code-from-zero	2	0	2026-09-12T10:21:27.470+09:00	2026-09-12T09:53:52.828+09:00
21	quintetkit/claude-code-parallel-workflow	0	1500	2026-09-05T10:53:42.419+09:00	2026-09-05T10:56:41.789+09:00
22	edgeailab/vibe-coding-guide	1	500	2026-09-03T16:03:31.963+09:00	2026-09-03T15:20:12.191+09:00
23	dehio3/claude-code-managed-settings	1	0	2026-08-30T12:07:55.134+09:00	2026-09-09T15:17:13.044+09:00
24	masayan1126/shorts-orchestration-pipeline	0	300	2026-08-22T21:57:31.058+09:00	2026-08-22T21:57:39.739+09:00
25	tsutomusaito/ai-context-design-guide	0	2000	2026-08-18T13:50:59.556+09:00	2026-08-22T18:59:54.964+09:00
26	yahir/claude-advanced-skill	0	0	2026-08-14T23:46:26.766+09:00	2026-08-14T23:57:14.978+09:00
27	masayan1126/youtube-ops-pdca-claude-code	1	300	2026-08-07T12:42:00.242+09:00	2026-08-07T12:42:11.927+09:00
28	subagent_lab/claude-code-subagents	0	900	2026-08-04T17:47:38.795+09:00	2026-08-05T12:04:39.826+09:00
29	clawtech6477/ai-org-playbook	0	1000	2026-07-22T20:49:13.633+09:00	2026-07-22T19:38:17.359+09:00
30	masayan1126/loop-engineering-guide	0	300	2026-07-22T17:41:58.220+09:00	2026-07-22T17:42:08.129+09:00
31	jidoka_lab/ai-agent-delegation-guide	0	1200	2026-07-21T21:20:29.516+09:00	2026-07-21T21:20:29.977+09:00
32	mugensai/ai-agents-site-revival	1	1200	2026-07-20T08:23:45.763+09:00	2026-07-20T08:18:16.131+09:00
33	ai_jarvis/af91c639f1b317	0	1000	2026-07-19T11:45:16.521+09:00	2026-07-19T10:46:58.970+09:00
34	yuya_1205/flutter-tdd-ai-development	7	0	2026-07-06T20:53:33.970+09:00	2026-07-05T14:17:43.662+09:00
35	gingakuwagata/claude-code-best-practices	4	0	2026-07-20T09:07:00.991+09:00	2026-07-25T08:28:49.435+09:00
36	tsubame29/shorts-auto-pipeline	0	1000	2026-07-15T22:51:48.681+09:00	2026-07-15T21:51:06.084+09:00
37	miharu_tools/solo-dev-three-roles	0	1500	2026-07-13T23:44:56.071+09:00	2026-07-13T23:29:07.576+09:00
38	mina3146/359c3fd19ef9e4	0	500	2026-07-11T22:08:34.582+09:00	2026-07-11T20:19:10.315+09:00
39	shoebill_dev27/claude-code-design-patterns	0	1500	2026-07-11T01:24:08.467+09:00	2026-06-22T20:20:16.540+09:00
40	garplab/9164d6145f536c	0	200	2026-09-14T20:11:40.145+09:00	2026-09-14T19:52:24.590+09:00
41	masayan1126/claude-code-spec-driven-dev	0	500	2026-09-06T08:08:04.100+09:00	2026-09-06T08:08:12.116+09:00
42	koheikameyama/claude-code-work-core	0	1500	2026-08-30T10:04:02.333+09:00	2026-08-30T10:04:10.406+09:00
43	masayan1126/ai-agent-harness-guide	0	300	2026-08-29T22:10:19.578+09:00	2026-08-29T22:10:26.307+09:00
44	yamitake/vibecoding-bible	2	500	2026-08-18T16:37:50.636+09:00	2026-08-18T16:38:01.361+09:00
45	joinclass/ai-agent-textbook	1	2000	2026-08-10T08:00:13.900+09:00	2026-08-02T13:05:34.968+09:00
46	shoebill_dev27/ai-driven-dev-it-basics	1	1500	2026-08-07T01:40:12.745+09:00	2026-08-07T01:40:18.690+09:00
47	karasuda_lab/ai-org-15-scars	0	900	2026-07-23T01:31:04.217+09:00	2026-07-23T01:31:14.612+09:00
48	popain/claude-code-autonomous-ops	1	500	2026-07-23T00:43:09.758+09:00	2026-08-05T00:11:23.506+09:00
49	suuungwoo/personal-ai-system-guide	0	500	2026-07-19T02:00:52.703+09:00	2026-07-19T02:01:59.813+09:00
50	ccstudio/claude-code-hooks-guide	0	1000	2026-07-09T22:00:35.230+09:00	2026-07-09T21:50:59.925+09:00
51	syumai6842/claude-code-ai-secretary	0	500	2026-07-06T16:32:10.704+09:00	2026-07-06T16:32:14.162+09:00
52	narita1980/claude-code-for-engineers	0	200	2026-07-05T15:53:17.610+09:00	2026-07-05T15:53:24.373+09:00
53	narita1980/claude-code-for-non-engineers	2	200	2026-07-05T14:59:29.360+09:00	2026-07-05T14:59:34.867+09:00
54	yutabeee/claude-code-autonomous	10	0	2026-06-06T14:15:54.889+09:00	2026-06-06T14:59:24.598+09:00
55	jiro2026/dojoru-kaihatsu-hiwa	1	0	2026-08-16T21:40:11.305+09:00	2026-09-03T23:02:58.387+09:00
56	talks_tldr_jp/claude-code-video-pipeline	1	2000	2026-07-25T01:56:05.056+09:00	2026-07-25T01:56:05.572+09:00
57	oceanscreative/claude-code-parallel-dev	0	500	2026-07-12T22:48:08.317+09:00	2026-07-12T21:45:29.450+09:00
58	tyuya/umiyui-unei-jitsuroku	0	800	2026-07-11T05:39:39.325+09:00	2026-07-11T04:49:51.322+09:00
59	idonthaveapen/local-llm-delegation	0	1500	2026-07-03T18:27:45.989+09:00	2026-07-03T18:22:20.931+09:00
60	seeda_yuto/code-with-claude-code-harness	0	1900	2026-07-01T09:26:42.582+09:00	2026-06-22T16:33:03.382+09:00
61	pakku8914/cca_f_exam_textbook	16	700	2026-06-28T14:30:17.591+09:00	2026-09-08T14:38:51.715+09:00
62	tottoko_hamu/delegating-work-to-claude-code	1	900	2026-06-27T17:42:37.262+09:00	2026-07-05T21:47:43.743+09:00
63	nume0449/claude-code-premiere-automation	0	1900	2026-06-27T11:30:59.858+09:00	2026-06-26T11:13:02.624+09:00
64	masayan1126/claude-desktop-3-modes	0	300	2026-06-26T19:59:35.362+09:00	2026-06-26T19:59:41.643+09:00
65	indiedev_lab/claude-code-kaiwa-de-susumeru	3	0	2026-06-24T22:07:41.486+09:00	2026-06-24T22:03:41.846+09:00
66	claude_cert/claude-foundations-design	0	0	2026-09-11T08:42:15.735+09:00	2026-09-11T09:03:54.617+09:00
67	kairosai/4727f19a3adf1f	0	1000	2026-09-11T03:46:31.325+09:00	2026-09-10T00:38:50.511+09:00
68	genkunjc/claude-code-parallel-kit	0	500	2026-09-05T05:14:05.689+09:00	2026-09-19T03:45:16.671+09:00
69	omnikros/inspect-ai-written-code	0	1000	2026-09-05T01:17:17.709+09:00	2026-09-05T01:08:40.773+09:00
70	imu_imu/claude-guide	0	0	2026-08-11T18:33:23.725+09:00	2026-08-11T20:05:20.561+09:00
71	joinclass/claude-skills-complete-guide	2	1300	2026-07-11T08:00:17.231+09:00	2026-07-09T18:41:47.126+09:00
72	smallworkslab/ai-two-agent-sidebiz-ops	0	500	2026-07-10T14:27:21.442+09:00	2026-07-10T14:15:31.228+09:00
